,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
559,DELL,Inspiron,Intel,Pentium Quad,,4.0,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,468.0,559.0,16,4.3,102,16
560,ASUS,ROG,AMD,Ryzen 7,,16.0,LPDDR4X,1024,0,Windows,64,4,Casual,13.4,1,Yes,No,1299.87,2118.87,38,4.4,77,15
561,Lenovo,Ideapad,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,Casual,15.6,2,No,Yes,818.9739999999999,1038.57,21,4.3,739,71
562,ASUS,Core,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,No,545.87,688.87,20,0.0,0,0
563,DELL,Inspiron,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,64,0,Casual,14.0,1,Yes,Yes,1013.87,1276.6,20,4.5,31,5
565,MICROSOFT,Surface,Intel,Core i5,8th,8.0,DDR3,128,0,Windows,64,0,Casual,13.5,0,Yes,No,1195.9869999999999,0.0,0,4.5,49,8
566,ASUS,Ryzen,AMD,Ryzen 7,,8.0,DDR4,512,0,Windows,32,4,Casual,14.0,0,No,No,941.1999999999999,1482.0,36,0.0,0,0
567,Lenovo,Ideapad,Intel,Core i3,10th,4.0,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,519.987,779.987,33,0.0,0,0
568,HP,Spectre,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,1494.87,1596.4389999999999,6,4.4,145,19
569,HP,Ryzen,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,32,0,Casual,15.6,0,No,No,680.9399999999999,760.5,10,0.0,0,0
570,ASUS,ROG,AMD,Ryzen 9,,32.0,LPDDR4X,1024,0,Windows,64,4,Casual,13.4,1,Yes,Yes,1858.87,2625.87,29,4.0,4,1
571,ASUS,Zephyrus,AMD,Ryzen 9,,16.0,DDR4,1024,0,Windows,64,0,Casual,14.0,1,No,No,1585.87,2027.87,21,0.0,0,0
572,DELL,DELL,Intel,Core i5,10th,8.0,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,857.87,985.4,12,0.0,0,0
573,DELL,Inspiron,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,64,2,Casual,14.0,1,No,Yes,1156.87,1177.865,1,3.8,19,2
574,DELL,Inspiron,Intel,Core i7,11th,16.0,DDR4,1024,0,Windows,64,2,Casual,15.6,1,No,Yes,1221.415,1589.8999999999999,23,4.8,4,0
575,Lenovo,Yoga,AMD,Ryzen 7,,16.0,DDR4,512,0,Windows,64,0,Casual,13.3,1,Yes,No,1026.87,1636.5439999999999,37,4.7,6,0
576,LG,Gram,Intel,Core i5,10th,8.0,DDR4,256,0,Windows,64,0,Casual,14.0,0,No,No,818.87,1287.0,36,4.6,68,20
